id,name,logo_path,territory_id,confed_id,official_name,code,gender,type,level,is_active,team_type
92,Permiere League,res://assets/textures/tournament_logo/92.png,62,12,Dominica Premiere League,,0,1,1,1,0
93,Liga Dominicana de Fútbol,res://assets/textures/tournament_logo/93.png,63,12,Dominican LDF,,0,1,1,1,0
94,Ligue 1,res://assets/textures/tournament_logo/94.png,64,15,DR Congo Ligue 1,,0,1,1,1,0
95,Primeira Divisão,res://assets/textures/tournament_logo/95.png,65,23,Timor-Leste Primeira Divisão,,0,1,1,1,0
96,Serie A,res://assets/textures/tournament_logo/96.png,67,3,Ecuadorian Serie A,,0,1,1,1,0
97,Serie B,res://assets/textures/tournament_logo/97.png,67,3,Ecuadorian Serie B,,0,1,2,1,0
98,Premier League,res://assets/textures/tournament_logo/98.png,68,16,Egyptian Premier League,,0,1,1,1,0
99,Second Division A,res://assets/textures/tournament_logo/99.png,68,16,Egyptian Second Division A,,0,1,2,1,0
100,Second Division B,res://assets/textures/tournament_logo/100.png,68,16,Egyptian Second Division B,,0,1,3,1,0
101,Primera Division,res://assets/textures/tournament_logo/101.png,69,13,El Salvador Primera Division,,0,1,1,1,0
102,Premier League,res://assets/textures/tournament_logo/102.png,70,11,English Premier League,,0,1,1,1,0
103,EFL Championship,res://assets/textures/tournament_logo/103.png,70,11,English League Championship,,0,1,2,1,0
104,EFL League One,res://assets/textures/tournament_logo/104.png,70,11,English League One,,0,1,3,1,0
105,EFL League 2,res://assets/textures/tournament_logo/105.png,70,11,English League Two,,0,1,4,1,0
106,National League,res://assets/textures/tournament_logo/106.png,70,11,English National League,,0,1,5,1,0
107,National League South,res://assets/textures/tournament_logo/107.png,70,11,English National League South,,0,1,6,1,0
108,National League North,res://assets/textures/tournament_logo/108.png,70,11,English National League North,,0,1,6,1,0
109,Northern Premier League Premier Division,res://assets/textures/tournament_logo/109.png,70,11,English Northern Premier League Premier Division,,0,1,7,1,0
110,Southern Premier League Central Division,res://assets/textures/tournament_logo/110.png,70,11,English Southern Premier League Central Division,,0,1,7,1,0
111,Southern League Premier Division South,res://assets/textures/tournament_logo/111.png,70,11,English Southern League Premier Division South,,0,1,7,1,0
